Player,Squad,Pos,Age,Gls,Ast,Min,MP,GS,xG,npxG,xAG,PrgC,PrgP,Yellow,Red,League,Country,Source,Source_URL
Brenden Aaronson,Leeds United,"FW,MF",25-064,1,2,911,16,10,2.1,2.1,1.5,21,26,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Zach Abbott,Nott'ham Forest,DF,19-226,0,0,45,1,0,0.0,0.0,0.0,0,1,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Joshua Acheampong,Chelsea,DF,19-234,1,0,349,5,4,0.6,0.6,0.0,4,11,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Tyler Adams,Bournemouth,MF,26-314,2,1,"1,195",15,15,0.5,0.5,0.1,12,61,5,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Tosin Adarabioyo,Chelsea,DF,28-092,0,0,561,9,5,0.1,0.1,0.0,3,18,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Simon Adingra,Sunderland,"FW,MF",23-358,0,0,382,10,5,0.1,0.1,0.6,17,5,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Amine Adli,Bournemouth,"FW,MF",25-229,1,0,394,13,3,1.0,1.0,0.2,10,13,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Emmanuel Agbadou,Wolves,DF,28-191,0,0,"1,011",13,11,0.5,0.5,0.2,5,37,1,1,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Nayef Aguerd,West Ham,DF,29-270,0,0,180,2,2,0.1,0.1,0.0,2,9,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Ola Aina,Nott'ham Forest,DF,29-078,0,0,270,3,3,0.0,0.0,0.1,5,11,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Rayan Aït-Nouri,Manchester City,DF,24-202,0,0,204,5,3,0.0,0.0,0.2,7,7,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Kristoffer Ajer,Brentford,DF,27-252,0,1,613,11,7,0.5,0.5,0.7,6,20,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Nathan Aké,Manchester City,DF,30-310,0,0,227,7,1,0.3,0.3,0.1,4,20,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Carlos Alcaraz,Everton,"MF,FW",23-025,0,1,595,14,5,0.9,0.9,0.8,7,17,3,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Omar Alderete,Sunderland,DF,28-364,1,1,"1,118",13,12,1.0,1.0,0.1,12,47,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Alisson,Liverpool,GK,33-084,0,0,"1,080",12,12,0.0,0.0,0.0,0,4,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Ethan Ampadu,Leeds United,MF,25-102,1,0,"1,319",15,15,0.8,0.8,0.1,19,60,4,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Joachim Andersen,Fulham,DF,29-208,0,0,"1,391",16,16,0.5,0.5,0.8,9,66,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Elliot Anderson,Nott'ham Forest,MF,23-049,1,1,"1,530",17,17,1.8,1.0,2.1,24,141,3,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
André,Wolves,MF,24-162,0,0,"1,245",17,14,0.2,0.2,0.3,9,48,4,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Jaidon Anthony,Burnley,"MF,FW",26-024,4,1,"1,125",17,14,2.4,2.4,0.6,25,17,3,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Alphonse Areola,West Ham,GK,32-301,0,1,"1,170",13,13,0.0,0.0,0.0,0,0,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Jhon Arias,Wolves,"FW,MF",28-095,0,0,812,16,10,2.7,2.7,0.5,16,27,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Harrison Armstrong,Everton,FW,18-340,0,0,1,1,0,0.0,0.0,0.0,0,0,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Tolu Arokodare,Wolves,FW,25-032,1,0,343,13,3,0.6,0.6,0.2,4,1,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Taiwo Awoniyi,Nott'ham Forest,FW,28-135,0,0,154,5,1,0.2,0.2,0.1,1,1,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Yasin Ayari,Brighton,MF,22-080,1,0,"1,169",15,12,1.8,1.8,0.4,11,40,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Benoît Badiashile,Chelsea,DF,24-274,0,0,156,4,2,0.0,0.0,0.0,1,7,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Dilane Bakwa,Nott'ham Forest,"FW,MF",23-121,0,0,174,4,2,0.1,0.1,0.4,6,9,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Carlos Baleba,Brighton,MF,21-356,0,0,896,16,14,0.2,0.2,0.1,10,24,4,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Daniel Ballard,Sunderland,DF,26-094,2,0,"1,122",15,12,1.4,1.4,0.7,6,29,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Ross Barkley,Aston Villa,MF,32-020,1,0,121,7,0,0.4,0.4,0.5,5,9,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Ashley Barnes,Burnley,FW,36-056,0,0,8,1,0,0.0,0.0,0.0,0,0,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Harvey Barnes,Newcastle Utd,FW,28-016,3,0,739,16,7,3.5,3.5,1.2,31,28,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Thierno Barry,Everton,FW,23-065,1,0,824,17,10,2.7,2.7,0.4,6,5,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Calvin Bassey,Fulham,DF,25-359,1,0,"1,359",16,15,0.6,0.6,0.1,19,51,3,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Altay Bayındır,Manchester Utd,GK,27-255,0,0,540,6,6,0.0,0.0,0.2,0,0,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Jean-Ricner Bellegarde,Wolves,"MF,FW",27-181,1,0,689,14,9,0.8,0.8,0.4,26,40,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Rodrigo Bentancur,Tottenham,MF,28-183,1,1,"1,055",16,13,0.4,0.4,0.8,7,33,4,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Sander Berge,Fulham,MF,27-314,0,0,"1,458",17,17,0.6,0.6,1.5,23,87,3,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Lucas Bergvall,Tottenham,MF,19-326,1,2,667,13,8,0.8,0.8,0.3,13,32,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Beto,Everton,FW,27-328,1,0,711,17,7,4.3,4.3,0.4,3,2,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Jaka Bijol,Leeds United,DF,26-323,1,1,622,8,7,0.2,0.2,0.4,3,11,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Marco Bizot,Aston Villa,GK,34-290,0,0,360,4,4,0.0,0.0,0.0,0,1,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Oscar Bobb,Manchester City,"MF,FW",22-166,0,1,468,9,5,0.4,0.4,0.7,17,18,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Lamare Bogarde,Aston Villa,MF,21-354,0,0,325,12,3,0.0,0.0,0.0,5,11,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Jayden Bogle,Leeds United,DF,25-151,0,1,"1,482",17,17,0.7,0.7,0.7,30,45,4,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Sebastiaan Bornauw,Leeds United,DF,26-278,0,0,2,2,0,0.0,0.0,0.0,0,0,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Olivier Boscagli,Brighton,DF,28-037,0,0,143,3,2,0.0,0.0,0.0,6,14,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Sven Botman,Newcastle Utd,DF,25-347,0,0,656,10,8,0.1,0.1,0.6,1,22,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Jarrod Bowen,West Ham,"FW,MF",29-005,5,1,"1,530",17,17,3.5,3.5,1.8,56,30,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Conor Bradley,Liverpool,DF,22-169,0,0,642,11,9,0.1,0.1,0.7,18,29,5,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Brian Brobbey,Sunderland,FW,23-327,2,1,403,12,3,0.8,0.8,0.1,2,6,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Armando Broja,Burnley,FW,24-106,1,0,320,11,2,1.4,1.4,0.0,5,3,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
David Brooks,Bournemouth,"FW,MF",28-170,0,1,722,15,9,2.5,2.5,1.7,22,28,6,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Jacob Bruun Larsen,Burnley,"FW,MF",27-097,0,1,718,15,7,0.6,0.6,1.3,15,17,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Emi Buendía,Aston Villa,"MF,FW",29-000,4,2,558,15,6,1.5,1.5,1.2,16,32,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Hugo Bueno,Wolves,"DF,MF",23-098,0,0,832,14,8,0.2,0.2,1.0,32,25,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Santiago Bueno,Wolves,DF,27-046,1,0,755,9,8,0.8,0.8,0.1,4,23,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Facundo Buonanotte,Chelsea,MF,21-002,0,0,45,1,1,0.0,0.0,0.3,0,0,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Dan Burn,Newcastle Utd,DF,33-230,0,2,"1,255",15,15,0.1,0.1,0.3,5,39,5,1,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Bradley Burrowes,Aston Villa,DF,17-296,0,0,17,1,0,0.0,0.0,0.0,1,0,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Sam Byram,Leeds United,DF,32-100,0,0,8,1,0,0.0,0.0,0.0,0,0,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Moisés Caicedo,Chelsea,MF,24-053,3,1,"1,072",13,12,0.6,0.6,1.0,10,69,3,1,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Tom Cairney,Fulham,MF,34-339,0,0,231,9,1,0.4,0.4,0.0,3,17,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Riccardo Calafiori,Arsenal,DF,23-220,1,2,"1,255",16,16,2.5,2.5,0.5,23,48,5,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Dominic Calvert-Lewin,Leeds United,FW,28-284,7,0,"1,030",15,11,6.4,5.6,1.1,8,12,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Jaydee Canvot,Crystal Palace,DF,19-149,0,0,116,5,1,0.0,0.0,0.0,2,3,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Fabio Carvalho,Brentford,"FW,MF",23-117,1,0,102,6,1,0.7,0.7,0.0,2,2,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Casemiro,Manchester Utd,MF,33-305,4,1,988,15,14,2.6,2.6,0.7,7,58,7,1,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Matty Cash,Aston Villa,DF,28-140,3,1,"1,501",17,17,0.7,0.7,1.5,24,56,4,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Timothy Castagne,Fulham,"DF,FW",30-020,0,0,540,12,6,0.4,0.4,0.2,6,19,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Trevoh Chalobah,Chelsea,DF,26-173,3,0,"1,380",16,16,0.9,0.9,0.1,15,48,2,1,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Rayan Cherki,Manchester City,"MF,FW",22-130,1,6,554,12,7,1.0,1.0,4.0,35,41,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Federico Chiesa,Liverpool,"FW,MF",28-061,2,1,162,12,0,1.2,1.2,1.3,6,8,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Tawanda Chirewa,Wolves,"MF,FW",22-075,0,0,22,1,0,0.0,0.0,0.0,0,0,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Ryan Christie,Bournemouth,MF,30-306,1,0,296,11,1,1.1,1.1,0.1,8,25,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Samuel Chukwueze,Fulham,FW,26-217,2,4,398,9,3,1.0,1.0,1.7,19,18,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Nathaniel Clyne,Crystal Palace,DF,34-264,0,0,221,4,3,0.4,0.4,0.1,3,8,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Séamus Coleman,Everton,"DF,FW",37-075,0,0,11,3,1,0.0,0.0,0.0,0,1,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Nathan Collins,Brentford,DF,24-239,0,0,"1,457",17,16,1.1,1.1,1.0,7,49,4,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Lewis Cook,Bournemouth,"DF,MF",28-325,0,0,304,8,2,0.0,0.0,0.2,14,24,0,1,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Diego Coppola,Brighton,DF,21-362,0,0,108,4,1,0.0,0.0,0.0,2,8,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Marc Cucurella,Chelsea,DF,27-156,0,2,"1,436",17,16,0.6,0.6,1.7,24,66,3,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Jorge Cuenca,Fulham,DF,26-038,0,0,259,4,3,0.0,0.0,0.0,0,3,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Josh Cullen,Burnley,MF,29-262,2,2,"1,462",17,17,0.9,0.9,2.1,6,67,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Jair Cunha,Nott'ham Forest,DF,20-293,0,0,90,1,1,0.0,0.0,0.0,0,1,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Matheus Cunha,Manchester Utd,"MF,FW",26-212,3,1,"1,029",14,12,4.4,4.4,1.4,39,46,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Diogo Dalot,Manchester Utd,DF,26-282,1,2,"1,047",15,12,0.7,0.7,2.2,24,40,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Mikkel Damsgaard,Brentford,MF,25-175,1,2,"1,032",15,12,1.0,1.0,2.2,18,58,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Kevin Danso,Tottenham,DF,27-097,0,0,495,11,6,0.0,0.0,0.0,3,22,3,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Karl Darlow,Leeds United,GK,35-078,0,0,450,5,5,0.0,0.0,0.0,0,1,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Ben Davies,Tottenham,DF,32-245,0,0,32,1,0,0.0,0.0,0.0,1,0,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Maxim De Cuyper,Brighton,"DF,FW",25-003,2,0,767,14,9,1.4,1.4,1.6,15,40,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Liam Delap,Chelsea,FW,22-320,0,0,348,8,6,0.8,0.8,0.0,8,6,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Sepp van den Berg,Brentford,DF,24-005,0,0,"1,530",17,17,1.6,1.6,0.5,13,35,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Justin Devenny,Crystal Palace,"MF,FW",22-075,1,0,220,13,1,1.6,0.9,0.1,7,5,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Kiernan Dewsbury-Hall,Everton,MF,27-110,4,2,"1,257",15,15,1.6,1.6,2.9,23,73,5,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Bafodé Diakité,Bournemouth,DF,24-353,0,0,"1,215",14,14,0.0,0.0,0.1,4,44,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Amad Diallo,Manchester Utd,"DF,MF",23-167,2,2,"1,203",15,14,3.7,3.7,3.0,71,49,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Habib Diarra,Sunderland,MF,21-356,0,0,372,5,4,0.6,0.6,0.0,10,13,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Rúben Dias,Manchester City,DF,28-225,2,0,"1,446",17,16,0.4,0.4,0.1,13,66,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Tyler Dibling,Everton,FW,19-288,0,0,104,8,1,0.0,0.0,0.0,3,0,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Lucas Digne,Aston Villa,DF,32-158,0,3,"1,006",16,12,0.4,0.4,0.9,11,27,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Issa Diop,Fulham,DF,28-350,0,0,230,4,2,0.0,0.0,0.0,1,7,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
El Hadji Malick Diouf,West Ham,DF,20-362,0,3,"1,387",16,15,0.4,0.4,0.8,18,36,3,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Matt Doherty,Wolves,DF,33-343,0,0,447,6,6,0.1,0.1,0.1,1,18,4,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Jeremy Doku,Manchester City,"MF,FW",23-212,1,4,938,15,11,1.4,1.4,6.1,101,48,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Nicolás Domínguez,Nott'ham Forest,"FW,MF",27-180,0,0,264,8,4,0.3,0.3,0.3,3,17,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Gianluigi Donnarumma,Manchester City,GK,26-303,0,0,"1,260",14,14,0.0,0.0,0.0,0,0,4,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Patrick Dorgu,Manchester Utd,DF,21-060,0,2,805,16,8,0.7,0.7,1.7,33,14,4,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Max Dowman,Arsenal,FW,15-359,0,0,29,2,0,0.1,0.1,0.0,4,0,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Joél Drakes-Thomas,Crystal Palace,MF,16-199,0,0,5,1,0,0.0,0.0,0.0,2,1,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Martin Dúbravka,Burnley,GK,36-344,0,0,"1,530",17,17,0.0,0.0,0.0,0,0,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Lewis Dunk,Brighton,DF,34-034,0,0,"1,395",16,15,0.6,0.6,0.1,10,49,5,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Odsonne Édouard,Crystal Palace,FW,27-343,0,0,3,1,0,0.0,0.0,0.0,0,0,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Marcus Edwards,Burnley,"FW,MF",27-022,0,1,101,7,0,0.3,0.3,0.8,9,9,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Hjalmar Ekdal,Burnley,DF,27-065,0,0,892,11,10,0.2,0.2,0.1,2,17,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Hugo Ekitike,Liverpool,FW,23-188,8,1,957,16,11,4.5,4.5,0.7,26,10,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Anthony Elanga,Newcastle Utd,"FW,MF",23-242,0,1,684,17,7,1.1,1.1,1.1,29,19,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Harvey Elliott,Liverpool,"MF,FW",22-265,0,0,1,1,0,0.0,0.0,0.0,0,0,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Harvey Elliott,Aston Villa,"MF,FW",22-265,0,0,98,3,1,0.2,0.2,0.0,3,5,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Wataru Endo,Liverpool,"MF,DF",32-319,0,1,47,5,0,0.0,0.0,0.1,2,2,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Romain Esse,Crystal Palace,FW,20-226,0,0,25,1,0,0.0,0.0,0.0,0,2,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Maxime Estève,Burnley,DF,23-213,0,0,"1,431",16,16,0.4,0.4,0.4,4,37,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Evanilson,Bournemouth,FW,26-080,2,0,"1,145",15,13,4.1,4.1,1.1,8,12,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Eberechi Eze,Arsenal,"MF,FW",27-179,4,2,910,14,11,2.3,2.3,1.2,24,42,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Eberechi Eze,Crystal Palace,MF,27-179,0,0,83,1,1,0.2,0.2,0.0,0,1,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Bruno Fernandes,Manchester Utd,MF,31-108,5,7,"1,475",17,17,7.0,3.9,4.7,28,138,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Mateus Fernandes,West Ham,"MF,FW",21-168,2,1,"1,145",15,14,0.9,0.9,1.1,16,43,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Enzo Fernández,Chelsea,MF,24-342,4,1,"1,367",16,15,6.1,5.4,3.2,21,115,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Zian Flemming,Burnley,FW,27-146,5,0,664,14,8,3.2,1.6,0.2,1,11,3,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Jack Fletcher,Manchester Utd,MF,18-281,0,0,18,1,0,0.0,0.0,0.0,0,1,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Phil Foden,Manchester City,MF,25-211,7,2,"1,225",15,14,4.0,4.0,2.6,21,62,3,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Wesley Fofana,Chelsea,DF,25-008,0,0,668,9,8,0.2,0.2,0.0,4,17,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Lyle Foster,Burnley,FW,25-113,2,1,868,13,11,1.6,1.6,0.8,13,12,2,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Jeremie Frimpong,Liverpool,"DF,FW",25-015,0,0,116,5,1,0.1,0.1,0.3,7,3,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Niclas Füllkrug,West Ham,FW,32-319,0,0,409,8,5,0.9,0.9,0.7,1,6,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Cody Gakpo,Liverpool,FW,26-232,4,3,"1,136",15,13,4.1,4.1,3.7,53,40,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Idrissa Gana Gueye,Everton,MF,36-090,2,0,"1,051",13,13,1.1,1.1,0.3,5,55,0,1,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Ben Gannon-Doak,Bournemouth,FW,20-044,0,1,57,4,0,0.1,0.1,0.6,4,1,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Alejandro Garnacho,Chelsea,FW,21-177,1,2,648,11,8,1.9,1.9,2.5,55,11,1,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
James Garner,Everton,"MF,DF",24-287,1,2,"1,523",17,17,1.2,1.2,1.5,18,90,4,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
Lutsharel Geertruida,Sunderland,"DF,MF",25-160,0,0,630,13,6,0.7,0.7,0.2,5,18,0,0,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats
