Player,Squad,Pos,Age,Gls,Ast,Min,MP,Sh,SoT,xG,xAG,Cmp,League,Country,Source,Source_URL,position,age,weekly_gross,annual_gross,currency
Benoît Badiashile,Chelsea,DF,24-265,0,0,156,4,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,24,90000.0,4680000.0,£
Dilane Bakwa,Nott'ham Forest,"FW,MF",23-112,0,0,174,4,,,0.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RW,23,70000.0,3640000.0,£
Carlos Baleba,Brighton,MF,21-347,0,0,896,16,,,0.2,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,DM,21,12500.0,650000.0,£
Daniel Ballard,Sunderland,DF,26-085,2,0,"1,032",14,,,1.2,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,25,35000.0,1820000.0,£
Ross Barkley,Aston Villa,MF,32-011,1,0,121,7,,,0.4,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,31,60000.0,3120000.0,£
Ashley Barnes,Burnley,FW,36-047,0,0,8,1,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CF,35,25000.0,1300000.0,£
Harvey Barnes,Newcastle Utd,FW,28-007,3,0,721,15,,,3.3,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,LW,27,80000.0,4160000.0,£
Thierno Barry,Everton,FW,23-056,1,0,759,16,,,2.7,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CF,22,45000.0,2340000.0,£
Calvin Bassey,Fulham,DF,25-350,1,0,"1,359",16,,,0.6,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,25,45000.0,2340000.0,£
Altay Bayındır,Manchester Utd,GK,27-246,0,0,540,6,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,GK,27,35000.0,1820000.0,£
Jean-Ricner Bellegarde,Wolves,"MF,FW",27-172,1,0,689,14,,,0.8,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,27,75000.0,3900000.0,£
Rodrigo Bentancur,Tottenham,MF,28-174,1,1,965,15,,,0.4,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,DM,28,75000.0,3900000.0,£
