Player,Squad,Pos,Age,Gls,Ast,Min,MP,Sh,SoT,xG,xAG,Cmp,League,Country,Source,Source_URL,position,age,weekly_gross,annual_gross,currency
Adam Boayar,Elche,MF,20-064,0,0,6,1,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,SS,19,3846.0,200000.0,€
Adama Boiro,Athletic Club,"DF,MF",23-177,0,0,198,4,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LB,23,8076.0,420000.0,€
Rahim Bonkano,Oviedo,DF,23-349,0,0,"1,054",15,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Lucas Boyé,Alavés,"FW,MF",29-291,3,0,911,12,,,2.6,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CF,29,40000.0,2080000.0,€
Enzo Boyomo,Osasuna,DF,24-070,1,0,"1,414",16,,,0.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,23,24230.0,1260000.0,€
Josip Brekalo,Oviedo,"FW,MF",27-176,0,0,339,10,,,0.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LW,27,51923.0,2700000.0,€
Abel Bretones,Osasuna,"DF,MF",25-117,1,0,"1,249",14,,,0.5,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LB,25,20000.0,1040000.0,€
Brugui,Levante,"MF,FW",29-042,0,1,896,15,,,1.9,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Tajon Buchanan,Villarreal,MF,26-311,5,0,897,15,,,0.9,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,RW,26,60000.0,3120000.0,€
Ante Budimir,Osasuna,FW,34-147,4,0,"1,136",15,,,5.8,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CF,34,60000.0,3120000.0,€
Manu Bueno,Sevilla,MF,21-142,0,0,63,3,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,21,6153.0,320000.0,€
Jorge Cabello,Levante,DF,21-235,0,0,362,5,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,21,6153.0,320000.0,€
Leandro Cabrera,Espanyol,DF,34-182,2,0,"1,350",15,,,1.4,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,34,20000.0,1040000.0,€
Calebe,Alavés,"MF,DF",25-230,0,0,450,11,,,0.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,AM,25,10000.0,520000.0,€
Fernando Calero,Espanyol,DF,30-093,0,0,926,12,,,1.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,29,24038.0,1250000.0,€
Duje Ćaleta-Car,Real Sociedad,DF,29-090,0,0,822,10,,,0.6,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Dani Calvo,Oviedo,DF,31-259,0,0,705,9,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,31,20000.0,1040000.0,€
Dawda Camara,Girona,FW,23-042,0,0,72,2,,,0.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Eduardo Camavinga,Real Madrid,MF,23-036,1,0,493,11,,,0.8,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,22,240384.0,12500000.0,€
Sergio Camello,Rayo Vallecano,"FW,MF",24-309,0,0,283,10,,,0.8,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CF,24,16153.0,840000.0,€
Sergi Cardona,Villarreal,DF,26-161,0,2,830,12,,,0.4,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LB,26,40000.0,2080000.0,€
Fábio Cardoso,Sevilla,DF,31-241,0,0,217,3,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,31,40000.0,2080000.0,€
Johnny Cardoso,Atlético Madrid,MF,24-087,0,0,196,4,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
David Carmo,Oviedo,DF,26-150,1,0,965,12,,,0.8,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,26,48076.0,2500000.0,€
Carmona,Sevilla,DF,23-321,1,3,"1,185",14,,,0.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Sergio Carreira,Celta Vigo,"MF,DF",25-064,1,1,"1,103",13,,,0.6,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,RB,24,26153.0,1360000.0,€
Gorka Carrera,Real Sociedad,FW,20-215,0,0,14,1,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Álvaro Carreras,Real Madrid,DF,22-268,1,1,"1,338",16,,,0.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LB,22,172307.0,8960000.0,€
Dani Carvajal,Real Madrid,DF,33-339,0,0,376,7,,,0.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Marc Casado,Barcelona,MF,22-093,0,1,537,12,,,0.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Castrin,Sevilla,DF,22-349,0,0,603,8,,,0.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Jonny Castro,Alavés,DF,31-288,0,0,"1,420",16,,,0.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Catena,Osasuna,DF,31-049,2,1,"1,350",15,,,1.6,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Santi Cazorla,Oviedo,"MF,FW",41-003,0,0,423,10,,,0.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,40,3750.0,195000.0,€
Dani Ceballos,Real Madrid,MF,29-131,0,0,357,10,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,29,200384.0,10420000.0,€
Ilyas Chaira,Oviedo,"FW,MF",24-317,0,0,787,14,,,1.8,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LW,24,18076.0,940000.0,€
Pep Chavarría,Rayo Vallecano,DF,27-250,1,2,"1,372",16,,,0.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LB,27,36153.0,1880000.0,€
Andreas Christensen,Barcelona,DF,29-250,0,0,380,12,,,0.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,29,173076.0,9000000.0,€
Víctor Chust,Elche,DF,25-286,0,0,866,12,,,0.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,25,16153.0,840000.0,€
Pathé Ciss,Rayo Vallecano,"MF,DF",31-275,0,0,962,14,,,1.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,31,11923.0,620000.0,€
Santiago Colombatto,Oviedo,MF,28-333,0,1,891,12,,,0.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,DM,28,24230.0,1260000.0,€
Eray Cömert,Valencia,DF,27-315,0,0,117,3,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,27,20000.0,1040000.0,€
Santi Comesaña,Villarreal,MF,29-072,2,2,973,14,,,2.6,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,28,44230.0,2300000.0,€
Copete,Valencia,DF,26-067,0,0,"1,059",13,,,1.4,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Thierry Correia,Valencia,DF,26-282,0,0,787,11,,,0.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,RB,26,23846.0,1240000.0,€
Coba da Costa,Getafe,"MF,FW",23-143,0,0,318,12,,,0.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LW,23,16153.0,840000.0,€
Samu Costa,Mallorca,MF,25-019,2,0,951,13,,,0.5,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
David Costas,Oviedo,DF,30-265,0,0,890,11,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,30,20000.0,1040000.0,€
Thibaut Courtois,Real Madrid,GK,33-219,0,0,"1,530",17,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,GK,33,288461.0,15000000.0,€
Juan Cruz Armada,Osasuna,DF,33-141,0,0,575,11,,,0.4,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Pau Cubarsí,Barcelona,DF,18-328,0,0,"1,117",13,,,0.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,18,76923.0,4000000.0,€
Cucho,Betis,FW,26-240,6,2,"1,386",16,,,5.4,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Pablo Cuñat,Levante,GK,23-232,0,0,180,2,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Arnaut Danjuma,Valencia,"FW,MF",28-319,3,1,"1,056",15,,,3.7,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LW,28,36153.0,1880000.0,€
Sergi Darder,Mallorca,"MF,FW",31-359,0,1,"1,190",16,,,1.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,31,51923.0,2700000.0,€
Davinchi,Getafe,DF,18-061,0,0,429,7,,,0.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LB,17,6153.0,320000.0,€
Leander Dendoncker,Oviedo,MF,30-245,1,0,"1,286",15,,,0.8,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,DM,30,60000.0,3120000.0,€
Nelson Deossa,Betis,MF,25-313,0,0,272,8,,,0.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,25,44230.0,2300000.0,€
Bambo Diaby,Elche,DF,27-364,0,0,49,2,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,27,16153.0,840000.0,€
Mouctar Diakhaby,Valencia,DF,28-362,1,0,453,7,,,0.5,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,28,76153.0,3960000.0,€
Grady Diangana,Elche,"MF,FW",27-241,0,0,297,7,,,0.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,RW,27,28076.0,1460000.0,€
Moussa Diarra,Alavés,DF,25-036,0,0,216,3,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,24,15384.0,800000.0,€
Brahim Díaz,Real Madrid,"FW,MF",26-135,0,2,319,12,,,0.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,RW,26,140192.0,7290000.0,€
Pedro Díaz,Rayo Vallecano,"MF,FW",27-194,0,0,795,13,,,0.6,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,27,30000.0,1560000.0,€
Matías Dituro,Elche,GK,38-222,0,0,540,6,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,GK,38,11923.0,620000.0,€
Djené,Getafe,"DF,MF",33-350,0,0,"1,134",16,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,33,60000.0,3120000.0,€
Marko Dmitrović,Espanyol,GK,33-326,0,0,"1,440",16,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Tyrhys Dolan,Espanyol,"MF,FW",23-353,0,2,"1,062",15,,,1.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,RW,23,28076.0,1460000.0,€
Marc Domenech,Mallorca,"FW,MF",19-349,0,1,214,7,,,0.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Carlos Dominguez,Celta Vigo,DF,24-308,0,0,436,6,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
John Donald,Elche,"MF,DF",25-108,1,0,213,10,,,0.4,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,24,10000.0,520000.0,€
Domingos Duarte,Getafe,DF,30-281,0,0,"1,174",14,,,0.5,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,30,24230.0,1260000.0,€
Pablo Durán,Celta Vigo,"FW,MF",24-205,2,0,646,13,,,2.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CF,24,8076.0,420000.0,€
Hugo Duro,Valencia,FW,26-036,5,0,903,16,,,3.6,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CF,25,80192.0,4170000.0,€
Ovie Ejaria,Oviedo,MF,28-028,0,0,180,7,,,0.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LW,27,16153.0,840000.0,€
Chidera Ejuke,Sevilla,"FW,MF",27-348,1,1,390,12,,,1.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LW,27,36153.0,1880000.0,€
Unai Elgezabal,Levante,"DF,MF",32-235,0,0,932,11,,,0.6,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,32,20000.0,1040000.0,€
Aritz Elustondo,Real Sociedad,DF,31-263,0,0,247,7,,,0.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,31,40000.0,2080000.0,€
Endrick,Real Madrid,FW,19-148,0,0,12,1,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CF,19,80000.0,4160000.0,€
Aarón Escandell,Oviedo,GK,30-080,0,0,"1,440",16,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,GK,30,20000.0,1040000.0,€
Carlos Espí,Levante,FW,20-145,0,0,73,4,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CF,20,4807.0,250000.0,€
Alfonso Espino,Rayo Vallecano,"FW,DF",33-345,1,0,274,10,,,1.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LB,33,18076.0,940000.0,€
Marco Esteban,Oviedo,DF,19-349,0,0,45,1,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Karl Etta Eyong,Villarreal,FW,22-063,1,2,256,3,,,0.9,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Karl Etta Eyong,Levante,FW,22-063,5,1,959,12,,,5.4,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CF,21,20000.0,1040000.0,€
Edu Expósito,Espanyol,MF,29-137,0,5,"1,040",15,,,0.8,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,29,36153.0,1880000.0,€
Abde Ezzalzouli,Betis,FW,23-364,3,3,780,11,,,3.6,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LW,23,28076.0,1460000.0,€
Omar Falah,Oviedo,"DF,MF",22-098,0,0,14,1,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Aleix Febas,Elche,MF,29-317,1,0,"1,440",16,,,1.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,29,23846.0,1240000.0,€
Luiz Felipe,Rayo Vallecano,DF,28-269,0,0,227,5,,,0.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,28,40000.0,2080000.0,€
Kiko Femenía,Getafe,"DF,FW",34-317,0,1,806,12,,,0.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,RB,34,24230.0,1260000.0,€
Manu Fernández,Celta Vigo,DF,24-237,0,0,557,8,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,24,4807.0,250000.0,€
Pedro Fernandez,Barcelona,"FW,MF",17-338,0,0,92,4,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Pelayo Fernandez,Rayo Vallecano,DF,22-231,0,0,45,1,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Roberto Férnandez,Espanyol,"FW,MF",23-166,4,2,"1,123",16,,,4.4,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Toni Fernández,Barcelona,FW,17-154,0,0,45,1,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Junior Firpo,Betis,DF,29-116,0,1,460,7,,,0.4,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LB,29,71923.0,3740000.0,€
Álex Forés,Oviedo,FW,24-248,0,0,193,10,,,1.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CF,24,13846.0,720000.0,€
Pablo Fornals,Betis,MF,29-297,3,4,"1,304",16,,,1.6,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,29,60000.0,3120000.0,€
Héctor Fort,Elche,DF,19-136,0,2,316,8,,,0.4,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,RB,19,20000.0,1040000.0,€
Dimitri Foulquier,Valencia,DF,32-268,0,0,726,9,,,0.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,RB,32,31923.0,1660000.0,€
Juan Foyth,Villarreal,DF,27-338,0,0,720,9,,,0.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,27,80000.0,4160000.0,€
Alejandro Francés,Girona,DF,23-137,0,0,348,7,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,RB,23,13846.0,720000.0,€
Jorge de Frutos,Rayo Vallecano,"FW,MF",28-299,4,1,"1,103",15,,,3.8,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,RW,28,36153.0,1880000.0,€
Javi Galán,Atlético Madrid,DF,31-027,0,0,134,5,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LB,30,60000.0,3120000.0,€
Iñigo Ruiz de Galarreta,Athletic Club,MF,32-132,0,0,977,15,,,0.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,32,28076.0,1460000.0,€
Conor Gallagher,Atlético Madrid,MF,25-313,1,0,585,17,,,0.6,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,25,173076.0,9000000.0,€
Facundo Garcés,Alavés,DF,26-102,0,0,540,6,,,0.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,25,18076.0,940000.0,€
Álvaro García,Rayo Vallecano,"FW,MF",33-050,3,1,"1,064",16,,,4.5,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LW,32,40000.0,2080000.0,€
Eric García,Barcelona,"DF,MF",24-341,1,0,"1,313",17,,,1.6,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,24,153846.0,8000000.0,€
Fran Garcia,Real Madrid,DF,26-124,0,0,321,5,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Gonzalo García,Real Madrid,"FW,MF",21-267,0,0,170,12,,,1.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CF,21,31923.0,1660000.0,€
Joan García,Barcelona,GK,24-226,0,0,990,11,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,GK,24,120192.0,6250000.0,€
Pablo Garcia,Betis,FW,19-186,0,0,295,10,,,1.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Rubén García,Osasuna,"MF,FW",32-155,1,4,725,14,,,0.6,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,RW,32,36153.0,1880000.0,€
Víctor García,Levante,"MF,DF",28-091,0,0,261,9,,,0.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,RB,27,15961.0,830000.0,€
Gavi,Barcelona,"MF,DF",21-133,0,1,67,2,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,21,180384.0,9380000.0,€
Paulo Gazzaniga,Girona,GK,33-348,0,0,"1,302",15,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,GK,33,30000.0,1560000.0,€
Mourad El Ghezouani,Elche,FW,27-203,0,0,50,2,,,0.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Bryan Gil,Girona,"MF,FW",24-308,0,3,670,13,,,1.7,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LW,24,56153.0,2920000.0,€
Moi Gómez,Osasuna,MF,31-176,0,0,813,13,,,0.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LW,31,28076.0,1460000.0,€
Sergio Gómez,Real Sociedad,DF,25-103,0,0,"1,102",16,,,0.8,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LB,24,48076.0,2500000.0,€
Unai Gómez,Athletic Club,"FW,MF",22-205,0,0,301,10,,,0.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,AM,22,7307.0,380000.0,€
Valentín Gómez,Betis,DF,22-173,1,0,810,12,,,0.7,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CB,22,24230.0,1260000.0,€
Nicolás González,Atlético Madrid,"MF,DF",27-254,1,0,904,14,,,2.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,RW,27,144230.0,7500000.0,€
Urko González,Espanyol,MF,24-271,0,1,802,14,,,0.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Urko González,Real Sociedad,MF,24-271,0,0,11,1,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Andoni Gorosabel,Athletic Club,DF,29-134,0,1,340,7,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,RB,29,30000.0,1560000.0,€
Jon Gorrotxategi,Real Sociedad,MF,23-317,1,1,"1,223",15,,,0.6,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,DM,23,31923.0,1660000.0,€
Mikel Goti,Real Sociedad,MF,23-207,0,0,76,4,,,0.3,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,AM,23,4615.0,240000.0,€
Antoine Griezmann,Atlético Madrid,"FW,MF",34-270,5,0,658,17,,,4.5,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,SS,34,180384.0,9380000.0,€
Nemanja Gudelj,Sevilla,"MF,DF",34-030,1,0,798,13,,,0.5,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,DM,33,76153.0,3960000.0,€
Gonçalo Guedes,Real Sociedad,"MF,FW",29-017,3,1,773,16,,,1.7,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,LW,28,80000.0,4160000.0,€
Javier Guerra,Valencia,MF,22-349,0,2,927,16,,,1.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Daniel Guerrero,Betis,MF,20-143,0,0,1,1,,,0.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,,,,,
Ander Guevara,Alavés,MF,28-162,1,0,355,11,,,0.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,28,28076.0,1460000.0,€
Pape Gueye,Villarreal,MF,26-326,2,1,776,13,,,1.0,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,DM,26,60000.0,3120000.0,€
Arda Güler,Real Madrid,MF,20-294,3,5,"1,067",17,,,3.6,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,AM,20,100000.0,5200000.0,€
Gerard Gumbau,Rayo Vallecano,MF,30-363,0,1,235,10,,,0.2,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,DM,30,16153.0,840000.0,€
Jon Guridi,Alavés,"MF,FW",30-291,0,0,387,10,,,0.9,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CM,30,24230.0,1260000.0,€
Gorka Guruzeta,Athletic Club,FW,29-095,1,0,944,15,,,4.1,,,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats,CF,28,40000.0,2080000.0,€
